"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"FCDo";"FCDi";"CC";"CP";"IMI"
"2307";"42001013004P4";"CIÊNCIA DA COMPUTAÇÃO";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"7";0,320987654320988;0,217741935483871;0,488973063973064;0,44066091954023;0,367090893329538
"2308";"42001013005P0";"GEOCIÊNCIAS";"FEDERAL";"PÚBLICA";1968;"ACADÊMICO";"7";0,186991869918699;0,163265306122449;0,302988387978142;0,313888888888889;0,241783613227045
"2309";"42001013006P7";"CIÊNCIAS BIOLÓGICAS II";"FEDERAL";"PÚBLICA";1968;"ACADÊMICO";"6";0,236559139784946;0,169014084507042;0,495365418894831;0,580555555555555;0,370373549685594
"2310";"42001013008P0";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";1978;"ACADÊMICO";"6";0,456140350877193;0,195121951219512;0,508578431372549;0,384469696969697;0,386077607609738
"2311";"42001013009P6";"CIÊNCIAS BIOLÓGICAS II";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"5";0,297619047619048;0,3125;0,510752688172043;0,475520833333333;0,399098142281106
"2312";"42001013010P4";"CIÊNCIAS BIOLÓGICAS I";"FEDERAL";"PÚBLICA";1963;"ACADÊMICO";"7";0,273809523809524;0,204301075268817;0,544444444444444;0,54837962962963;0,392733668288104
"2313";"42001013011P0";"CIÊNCIAS BIOLÓGICAS II";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"5";0,318840579710145;0,451612903225806;0,536428571428571;0,581521739130435;0,472100948373739
"2314";"42001013012P7";"SOCIOLOGIA";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"7";0,310344827586207;0,288888888888889;0,512499362895005;0,36952380952381;0,370314222223478
"2315";"42001013013P3";"ECONOMIA";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"5";0,372549019607843;0,141509433962264;0,634615384615385;0,366666666666667;0,37883512621304
"2316";"42001013014P0";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";1970;"ACADÊMICO";"7";0,315789473684211;0,217391304347826;0,661616161616162;0,361111111111111;0,388977012689827
"2317";"42001013015P6";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";1969;"ACADÊMICO";"6";0,458333333333333;0,291666666666667;0,682769423558897;0,443686868686869;0,469114073061441
"2318";"42001013016P2";"ENGENHARIAS II";"FEDERAL";"PÚBLICA";1974;"ACADÊMICO";"7";0,46078431372549;0,163963963963964;0,429182987335161;0,343840579710145;0,34944296118369
"2319";"42001013017P9";"MEDICINA I";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"5";0,226190476190476;0,351351351351351;0,402777777777778;0,505808080808081;0,371531921531922
"2320";"42001013018P5";"MEDICINA I";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"3";0,5;0,242424242424242;0,521862887596899;0,483771929824561;0,437014764961426
