CD_PROGRAMA_IES;NM_REGIAO;SG_UF_PROGRAMA;SG_ENTIDADE_ENSINO;NM_MUNICIPIO_PROGRAMA_IES;NM_AREA_CONHECIMENTO
20009011002P0;NORDESTE;MA;UNICEUMA;SÃO LUÍS;MICROBIOLOGIA
20009011003P7;NORDESTE;MA;UNICEUMA;SÃO LUÍS;SAÚDE COLETIVA
21001014001P6;NORDESTE;PI;FUFPI;TERESINA;EDUCAÇÃO
21001014002P2;NORDESTE;PI;FUFPI;TERESINA;ZOOTECNIA
21001014003P9;NORDESTE;PI;FUFPI;TERESINA;QUÍMICA
21001014004P5;NORDESTE;PI;FUFPI;TERESINA;CIÊNCIAS AMBIENTAIS
21001014005P1;NORDESTE;PI;FUFPI;TERESINA;SERVIÇO SOCIAL
21001014007P4;NORDESTE;PI;FUFPI;TERESINA;AGRONOMIA
21001014008P0;NORDESTE;PI;FUFPI;TERESINA;LETRAS
21001014009P7;NORDESTE;PI;FUFPI;TERESINA;HISTÓRIA
21001014011P1;NORDESTE;PI;FUFPI;TERESINA;INTERDISCIPLINAR
21001014012P8;NORDESTE;PI;FUFPI;TERESINA;ENFERMAGEM
21001014013P4;NORDESTE;PI;FUFPI;TERESINA;FARMACOLOGIA
21001014014P0;NORDESTE;PI;FUFPI;TERESINA;CIÊNCIA POLÍTICA
21001014015P7;NORDESTE;PI;FUFPI;TERESINA;FILOSOFIA
21001014016P3;NORDESTE;PI;FUFPI;TERESINA;FÍSICA
21001014017P0;NORDESTE;PI;FUFPI;TERESINA;ANTROPOLOGIA
21001014018P6;NORDESTE;PI;FUFPI;BOM JESUS;AGRONOMIA
21001014019P2;NORDESTE;PI;FUFPI;TERESINA;AGRONOMIA
21001014020P0;NORDESTE;PI;FUFPI;TERESINA;CIÊNCIA E TECNOLOGIA DE ALIMENTOS
21001014021P7;NORDESTE;PI;FUFPI;TERESINA;MATEMÁTICA
21001014022P3;NORDESTE;PI;FUFPI;TERESINA;FARMÁCIA
21001014023P0;NORDESTE;PI;FUFPI;BOM JESUS;AGRONOMIA
21001014024P6;NORDESTE;PI;FUFPI;TERESINA;MATERIAIS
21001014025P2;NORDESTE;PI;FUFPI;PARNAÍBA;BIOTECNOLOGIA
21001014026P9;NORDESTE;PI;FUFPI;TERESINA;COMUNICAÇÃO
21001014027P5;NORDESTE;PI;FUFPI;TERESINA;GEOGRAFIA
21001014028P1;NORDESTE;PI;FUFPI;TERESINA;ODONTOLOGIA
21001014029P8;NORDESTE;PI;FUFPI;BOM JESUS;ZOOTECNIA
21001014030P6;NORDESTE;PI;FUFPI;TERESINA;SOCIOLOGIA
21001014031P2;NORDESTE;PI;FUFPI;TERESINA;CIÊNCIA DA COMPUTAÇÃO
21001014032P9;NORDESTE;PI;FUFPI;TERESINA;ARQUEOLOGIA
21001014033P5;NORDESTE;PI;FUFPI;PARNAÍBA;MUSEOLOGIA
21001014034P1;NORDESTE;PI;FUFPI;PARNAÍBA;MEDICINA
21001014075P0;NORDESTE;PI;FUFPI;TERESINA;SAÚDE COLETIVA
21001014076P6;NORDESTE;PI;FUFPI;TERESINA;MEDICINA
21001014077P2;NORDESTE;PI;FUFPI;TERESINA;INTERDISCIPLINAR
21001014078P9;NORDESTE;PI;FUFPI;TERESINA;ENGENHARIA ELÉTRICA
21002010001P2;NORDESTE;PI;UESPI;TERESINA;LETRAS
21002010070P4;NORDESTE;PI;UESPI;TERESINA;QUÍMICA
21003017001P9;NORDESTE;PI;IFPI;TERESINA;ENGENHARIA DE MATERIAIS E METALÚRGICA
21005010001P5;NORDESTE;PI;UNINOVAFAPI;TERESINA;ENFERMAGEM
21014000039P9;NORDESTE;MA;UNICEUMA;SÃO LUÍS;CIÊNCIAS AMBIENTAIS
22001018001P9;NORDESTE;CE;UFC;FORTALEZA;EDUCAÇÃO
22001018002P5;NORDESTE;CE;UFC;FORTALEZA;FÍSICA
22001018003P1;NORDESTE;CE;UFC;FORTALEZA;MATEMÁTICA
22001018004P8;NORDESTE;CE;UFC;FORTALEZA;QUÍMICA
22001018006P0;NORDESTE;CE;UFC;FORTALEZA;BIOQUÍMICA
22001018007P7;NORDESTE;CE;UFC;FORTALEZA;FARMACOLOGIA
22001018008P3;NORDESTE;CE;UFC;FORTALEZA;SOCIOLOGIA
22001018009P0;NORDESTE;CE;UFC;FORTALEZA;ECONOMIA
22001018010P8;NORDESTE;CE;UFC;FORTALEZA;ENGENHARIA CIVIL
22001018011P4;NORDESTE;CE;UFC;FORTALEZA;DIREITO
22001018012P0;NORDESTE;CE;UFC;FORTALEZA;AGRONOMIA
22001018013P7;NORDESTE;CE;UFC;FORTALEZA;AGRONOMIA
22001018014P3;NORDESTE;CE;UFC;FORTALEZA;ENGENHARIA AGRÍCOLA
22001018015P0;NORDESTE;CE;UFC;FORTALEZA;ECONOMIA
22001018016P6;NORDESTE;CE;UFC;FORTALEZA;ZOOTECNIA
22001018017P2;NORDESTE;CE;UFC;FORTALEZA;CIÊNCIA E TECNOLOGIA DE ALIMENTOS
22001018018P9;NORDESTE;CE;UFC;FORTALEZA;LETRAS
22001018019P5;NORDESTE;CE;UFC;FORTALEZA;MEDICINA
22001018020P3;NORDESTE;CE;UFC;FORTALEZA;RECURSOS PESQUEIROS E ENGENHARIA DE PESCA
