"";"CD_PROGRAMA_IES";"Count";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"Prof_Perm";"Soma_patentes";"Soma_produtos";"Soma_Aplicativos";"Forma_docente";"Forma_discente";"Colabora_cientifica";"CP";"Indice_MI";"Patente_prof";"Produto_prof";"App_prof";"Indice_PT";"new_indice_PT"
"681";"28005015007P9";681;2;0;2007;0;3;12;0;0;0;277777778;527777778;484126984;496428571;446527778;0;0;0;0;877,583333333333
"682";"28005015008P5";682;2;0;2009;0;3;21;0;0;0;571428571;441176471;460050505;478205128;487715169;0;0;0;0;501,47619047619
"683";"28005015009P1";683;2;0;2010;0;3;17;0;1;0;823529412;636363636;55;544565217;638614566;0;58823529;0;19607843;619,470588235294
"684";"28005015010P0";684;2;0;2010;0;3;12;1;0;0;416666667;68;580263158;408823529;521438338;83333333;0;0;27777778;877,583333333333
"685";"28005015011P6";685;2;0;2011;1;3;24;0;2;25;694444444;326203209;533783784;372222222;481663415;0;83333333;1;361111111;438,791666666667
"686";"28005015012P2";686;2;0;2013;1;3;21;0;0;1;53968254;385964912;630708874;38015873;484128764;0;0;47619048;15873016;501,47619047619
"687";"28005015013P9";687;2;0;2014;0;3;14;0;0;0;714285714;555555556;645192308;482352941;59934663;0;0;0;0;752,214285714286
"688";"28005015014P5";688;2;0;2014;1;3;18;0;0;0;574074074;4;668137255;435714286;519481404;0;0;0;0;585,055555555556
"689";"28005015070P2";689;2;0;2016;0;3;11;0;0;0;393939394;642857143;75;46025641;561763237;0;0;0;0;957,363636363636
"690";"28006011002P3";690;2;0;2003;0;4;17;0;0;1;411764706;149253731;833333333;331140351;43137303;0;0;58823529;19607843;619,470588235294
"691";"28006011003P0";691;2;0;2005;0;3;20;0;0;0;466666667;628571429;530336257;521428571;536750731;0;0;0;0;526,55
"692";"28006011005P2";692;2;0;2008;0;5;22;0;0;1;575757576;379310345;458034648;540333333;488358975;0;0;45454545;15151515;478,681818181818
"693";"28006011007P5";693;2;0;2009;0;4;18;0;0;3;537037037;358695652;559375;443859649;474741835;0;0;166666667;55555556;585,055555555556
"694";"28006011008P1";694;2;0;2010;0;3;22;0;0;0;590909091;379746835;583333333;554012346;527000401;0;0;0;0;478,681818181818
